iter	Passed	Remaining
406	5592	8147
407	5604	8132
408	5617	8116
409	5630	8101
410	5644	8089
411	5658	8075
412	5670	8059
413	5683	8044
414	5697	8031
415	5709	8015
416	5721	7999
417	5735	7985
418	5747	7969
419	5761	7956
420	5773	7940
421	5786	7925
422	5799	7911
423	5813	7897
424	5826	7882
425	5839	7868
426	5852	7853
427	5865	7839
428	5878	7824
429	5891	7809
430	5904	7795
431	5916	7779
432	5929	7764
433	5940	7747
434	5955	7734
435	5969	7721
436	5983	7708
437	5996	7694
438	6008	7678
439	6022	7664
440	6039	7655
441	6056	7645
442	6068	7630
443	6084	7618
444	6097	7605
445	6112	7592
446	6125	7578
447	6138	7563
448	6153	7551
449	6169	7540
450	6183	7527
451	6198	7514
452	6211	7500
453	6224	7486
454	6240	7475
455	6254	7460
456	6266	7446
457	6278	7430
458	6293	7417
459	6306	7402
460	6319	7388
461	6333	7375
462	6347	7361
463	6359	7346
464	6374	7333
465	6386	7318
466	6399	7303
467	6414	7291
468	6429	7278
469	6443	7265
470	6459	7254
471	6475	7243
472	6489	7230
473	6502	7215
474	6516	7202
475	6529	7188
476	6543	7175
477	6558	7161
478	6574	7151
479	6587	7136
480	6601	7123
481	6615	7109
482	6627	7094
483	6642	7081
484	6656	7068
485	6670	7054
486	6682	7038
487	6695	7025
488	6708	7010
489	6722	6997
490	6736	6983
491	6749	6968
492	6764	6956
493	6778	6942
494	6790	6928
495	6804	6914
496	6818	6900
497	6832	6887
498	6846	6873
499	6859	6859
500	6872	6845
501	6884	6829
502	6897	6815
503	6911	6801
504	6924	6786
505	6935	6771
506	6948	6756
507	6962	6743
508	6974	6728
509	6987	6713
510	6999	6698
511	7012	6683
512	7025	6669
513	7039	6656
514	7054	6643
515	7067	6629
516	7082	6616
517	7094	6601
518	7108	6587
519	7121	6573
520	7135	6560
521	7149	6547
522	7164	6534
523	7177	6519
524	7190	6505
525	7203	6491
526	7217	6478
527	7231	6464
528	7245	6451
529	7260	6438
530	7272	6423
531	7285	6408
532	7298	6394
533	7312	6381
534	7324	6366
535	7337	6351
536	7351	6338
537	7367	6326
538	7381	6313
539	7396	6300
540	7410	6286
541	7422	6272
542	7436	6259
543	7452	6246
544	7466	6233
545	7480	6220
546	7501	6212
547	7515	6198
548	7531	6186
549	7545	6173
550	7561	6162
551	7577	6149
552	7592	6136
553	7607	6124
554	7621	6111
555	7639	6100
556	7652	6086
557	7666	6072
558	7677	6057
559	7691	6043
560	7705	6029
561	7718	6015
562	7731	6001
563	7744	5986
564	7755	5971
565	7768	5956
566	7781	5942
567	7794	5928
568	7807	5914
569	7818	5898
570	7831	5883
571	7844	5869
572	7858	5855
573	7870	5841
574	7884	5827
575	7896	5812
576	7911	5799
577	7923	5785
578	7935	5770
579	7948	5755
580	7960	5741
581	7974	5727
582	7987	5712
583	7999	5698
584	8012	5684
585	8024	5669
586	8037	5655
587	8051	5641
588	8064	5627
589	8077	5612
590	8089	5598
591	8102	5584
592	8115	5570
593	8128	5555
594	8140	5540
595	8154	5527
596	8168	5513
597	8180	5499
598	8193	5485
599	8206	5470
600	8217	5455
601	8230	5441
602	8244	5427
603	8258	5414
604	8269	5399
605	8285	5386
606	8299	5373
607	8312	5359
608	8324	5344
609	8339	5331
610	8352	5317
611	8366	5304
612	8379	5290
613	8393	5276
614	8405	5262
615	8419	5248
616	8433	5234
617	8447	5221
618	8459	5207
619	8473	5193
620	8487	5180
621	8503	5167
622	8516	5153
623	8530	5140
624	8544	5126
625	8559	5113
626	8572	5099
627	8586	5086
628	8600	5072
629	8615	5059
630	8629	5046
631	8643	5033
632	8659	5020
633	8677	5009
634	8691	4995
635	8704	4982
636	8719	4968
637	8734	4955
638	8748	4942
639	8761	4928
640	8774	4914
641	8788	4900
642	8802	4887
643	8816	4873
644	8830	4860
645	8843	4845
646	8856	4832
647	8871	4818
648	8885	4805
649	8899	4791
650	8912	4777
651	8926	4764
652	8941	4751
653	8956	4738
654	8971	4725
655	8986	4712
656	8999	4698
657	9013	4684
658	9026	4670
659	9039	4656
660	9053	4643
661	9066	4629
662	9079	4615
663	9092	4601
664	9105	4586
665	9117	4572
666	9129	4557
667	9142	4543
668	9154	4529
669	9166	4514
670	9178	4500
671	9189	4485
672	9201	4471
673	9215	4457
674	9229	4444
675	9243	4430
676	9257	4416
677	9269	4402
678	9283	4388
679	9297	4375
680	9312	4362
681	9325	4348
682	9338	4334
683	9351	4320
684	9365	4306
685	9377	4292
686	9390	4278
687	9402	4263
688	9415	4249
689	9428	4236
690	9442	4222
691	9456	4208
692	9469	4194
693	9486	4182
694	9498	4168
695	9511	4154
696	9524	4140
697	9537	4126
698	9549	4112
699	9564	4098
700	9580	4086
701	9594	4073
702	9609	4059
703	9622	4045
704	9637	4032
705	9650	4018
706	9665	4005
707	9678	3991
708	9693	3978
709	9705	3964
710	9720	3950
711	9734	3937
712	9748	3923
713	9761	3910
714	9775	3896
715	9789	3883
716	9803	3869
717	9815	3855
718	9831	3842
719	9843	3828
720	9856	3814
721	9870	3800
722	9883	3786
723	9896	3772
724	9911	3759
725	9925	3745
726	9937	3731
727	9950	3717
728	9963	3703
729	9975	3689
730	9987	3675
