iter	Logloss
0	0.6850806168
1	0.6772587841
2	0.6694810673
3	0.6622493463
4	0.6552710656
5	0.6482040199
6	0.6417169961
7	0.6348324188
8	0.6288523041
9	0.6224368874
10	0.6161036418
11	0.6104443622
12	0.6045099335
13	0.5986088228
14	0.5931576687
15	0.5876781608
16	0.5827477788
17	0.5776498054
18	0.573054719
19	0.5681287699
20	0.5635586105
21	0.5593989858
22	0.5550296303
23	0.5511678728
24	0.5469654685
25	0.5429614174
26	0.5396111266
27	0.5359110693
28	0.5321392799
29	0.5285269057
30	0.5251825531
31	0.5217490601
32	0.5187852784
33	0.5156577363
34	0.5126397124
35	0.5097960238
36	0.507005611
37	0.5043265479
38	0.5014451265
39	0.4985800778
40	0.4961689537
41	0.4937118955
42	0.4911086032
43	0.4887459264
44	0.4863531876
45	0.4841147417
46	0.4818719058
47	0.47947371
48	0.4773099495
49	0.4751300934
50	0.4731781389
51	0.4710252424
52	0.4693248227
53	0.4673824547
54	0.4655426109
55	0.4636195665
56	0.4616964773
57	0.4599627693
58	0.4582023706
59	0.4565695476
60	0.4550308668
61	0.4533912105
62	0.4517846743
63	0.4500715933
64	0.4484640117
65	0.4470565043
66	0.4458377608
67	0.4446255315
68	0.4433103354
69	0.4420767374
70	0.440637805
71	0.4392237034
72	0.4377978146
73	0.4365966233
74	0.4352427037
75	0.4341202299
76	0.4331031454
77	0.4320855685
78	0.4311000087
79	0.4301342989
80	0.4288926568
81	0.4277531186
82	0.4264819397
83	0.4255553306
84	0.4245341916
85	0.4234332323
86	0.4224958573
87	0.4212972133
88	0.4201789326
89	0.4192777399
90	0.4184807532
91	0.4175937332
92	0.4167332615
93	0.4157601964
94	0.4148649421
95	0.4137312886
96	0.4130068328
97	0.4122044069
98	0.4114291687
99	0.4106381052
100	0.4098715121
101	0.4091844451
102	0.4084923176
103	0.4076977626
104	0.4069302782
105	0.4062474008
106	0.4054283826
107	0.4049319487
108	0.4042532914
109	0.403596693
110	0.4029322601
111	0.4023724777
112	0.4017512292
113	0.4009322551
114	0.4003234524
115	0.3997523085
116	0.3992104995
117	0.3986568543
118	0.3981465455
119	0.3976219191
120	0.3971356352
121	0.3965921234
122	0.3960317477
123	0.3955030462
124	0.3950463492
125	0.3944550832
126	0.3939027398
127	0.3933065871
128	0.3928495482
129	0.3922461352
130	0.3917699736
131	0.3913556833
132	0.3908898122
133	0.3902901603
134	0.3897537787
135	0.3892577703
136	0.3888361659
137	0.3883462013
138	0.3877512698
139	0.3874499685
140	0.3868844344
141	0.3863482382
142	0.3859241367
143	0.3853823334
144	0.3848938829
145	0.3844168084
146	0.3838785193
147	0.3835117806
148	0.3830397908
149	0.3825409683
150	0.3821789001
151	0.3818072448
152	0.3814202897
153	0.3810324485
154	0.3805539168
155	0.380086919
156	0.379767668
157	0.3795492935
158	0.3791296188
